SMILES,ID,LNID,WX_inventory,CASRN,MDLNumber,ComputedPrice_1g/$
CC1(C)C(C)(C)OB(C2=CCCN(CC3=CC=CC=C3)C2)O1,Compound 1,LN00001594,0.1g,1313738-80-5,MFCD11840350,20
CSC1=C(C=CC=C1)B(O)O,Compound 2,LN00002118,34.84g,168618-42-6,MFCD01318165,3
CC1(C)C(C)(C)OB(C2=CC=C(N)N=C2)O1,Compound 3,LN00002250,14g,827614-64-2,MFCD05663837,3
CC(C)(C)OC(=O)NC1=CC(=CC=N1)B2OC(C)(C)C(C)(C)O2,Compound 4,LN00004259,3.364g,1095708-32-9,MFCD12032217,15
CC1(C)C(C)(C)OB(C2=CC3=C(NC=C3)N=C2)O1,Compound 5,LN00004260,449.177g,754214-56-7,MFCD08060937,3
C1=C(C=C(C(=C1)B(O)O)F)C(F)(F)F,Compound 6,LN00004263,459.91g,503309-11-3,MFCD03094995,3
C1=C(C=C(C#N)C(=C1)Cl)B(O)O,Compound 7,LN00004264,25.85g,871332-95-5,MFCD08056360,3
CC1(C)C(C)(C)OB(C2=CC3=C(C=C2)OC(=N3)N)O1,Compound 8,LN00004267,0.25g,1224844-66-9,MFCD13182075,139
CC(C)(C1=CC=CC(=C1)B2OC(C)(C)C(C)(C)O2)O,Compound 9,LN00004270,0.72g,1309980-11-7,MFCD12405017,3
CC1(C)C(C)(C)OB(C2=CC=NC3=C2C=CN3)O1,Compound 10,LN00004273,21.2g,942919-26-8,MFCD11616360,10
CC1(C)C(C)(C)OB(C2=CC=C3CNC(=O)C3=C2)O1,Compound 11,LN00004278,1.75g,1004294-80-7,MFCD11849992,27
CC1(C)C(C)(C)OB(C2=C(C=CC=C2)NS(=O)(=O)C)O1,Compound 12,LN00004284,2g,380430-60-4,MFCD02179479,10
CC1(C)C(C)(C)OB(C2=CC3=C(C=C2)OC=C3)O1,Compound 13,LN00004292,19.55g,519054-55-8,MFCD04115374,3
C1=C(C=NC=C1B(O)O)F,Compound 14,LN00004293,122.54g,872041-86-6,MFCD07368243,3
CC1=CC(=C(C)S1)B(O)O,Compound 15,LN00004301,114.389g,162607-23-0,MFCD09837620,3
C1=CC(=NC(=C1)B(O)O)Br,Compound 16,LN00004302,2g,440680-34-2,MFCD04114287,3
COC1=CC=C(C(=C1B(O)O)F)F,Compound 17,LN00004331,0.2625g,957061-21-1,MFCD03095116,3
CC(C)(C)OC(=O)C1=CC=C(C=C1)B(O)O,Compound 18,LN00004332,56.29g,850568-54-6,MFCD03411946,3
C1=CC(=CC(=C1)C(F)(F)F)B(O)O,Compound 19,LN00004381,66.1g,1423-26-3,MFCD00151854,3
COC1=CC(=CC=C1C(=O)OC)B(O)O,Compound 20,LN00004388,78.12g,603122-41-4,MFCD07366483,3
C1=C(C=C(C(=C1)Cl)B(O)O)F,Compound 21,LN00004389,234.04g,444666-39-1,MFCD06656272,3
C1=COC(=C1)B(O)O,Compound 22,LN00004521,115.94g,13331-23-2,MFCD00799544,3
CC1(C)C(C)(C)OB(C2=CC=C(C=C2)OCCN3CCOCC3)O1,Compound 23,LN00004531,10g,690636-28-3,MFCD04440857,3
CC(C)(C)OC(=O)N1CCC2=CC(=CC=C2C1)B3OC(C)(C)C(C)(C)O3,Compound 24,LN00004532,1.52g,893566-72-8,MFCD11044669,3
CC1(C)C(C)(C)OB(C2=CN(CC3=CC=C(C=C3)OC)N=C2)O1,Compound 25,LN00004533,77.86g,1105039-88-0,MFCD16877287,3
CC(C)(C)OC(=O)N1CC=C(CC1)B2OC(C)(C)C(C)(C)O2,Compound 26,LN00004534,2873.26g,286961-14-6,MFCD03840345,3
CC1(C)C(C)(C)OB(C2=CC=C(C=C2)CN3CCOCC3)O1,Compound 27,LN00004548,31.3g,364794-79-6,MFCD04974052,3
C1=CNN=C1B(O)O,Compound 28,LN00004549,150.474g,376584-63-3,MFCD07368247,3
C1=CC=C(C=C1)S(=O)(=O)N2C=C(C3=C2C=CC=C3)B(O)O,Compound 29,LN00004550,7.61g,129271-98-3,MFCD02681892,3
CC1(C)C(C)(C)OB(C2=CN=C(N=C2)N3CCOCC3)O1,Compound 30,LN00004559,1.18g,957198-30-0,MFCD07368246,3
CC1(C)C(C)(C)OB(C2=CN(COCC[Si](C)(C)C)N=C2)O1,Compound 31,LN00004560,1.44g,894807-98-8,MFCD20486100,28
CC(C)(C)OC(=O)N1CCN(CC1)C2=CC=C(C=N2)B3OC(C)(C)C(C)(C)O3,Compound 32,LN00004561,36.54g,496786-98-2,MFCD04039875,3
CC1(C)C(C)(C)OB(C2=CC3=CC=C(C=C3C=C2)C(=O)OC)O1,Compound 33,LN00004708,5.94g,736989-93-8,MFCD18783177,3
C1=C(C=CC(=C1)S(=O)(=O)N)B(O)O,Compound 34,LN00004712,15.71g,613660-87-0,MFCD06659839,3
COC(=O)C1=CC=CC(=C1)B(O)O,Compound 35,LN00004713,237.93g,99769-19-4,MFCD02093046,3
CC1(C)C(C)(C)OB(C2=CC=C(C=C2)S(=O)(=O)N(C)C)O1,Compound 36,LN00004720,0.57g,486422-04-2,MFCD03425962,3
CCOC1=NC=CC=C1B(O)O,Compound 37,LN00004721,22g,854373-97-0,MFCD06201036,3
C1=C(C=CN=C1)B(O)O,Compound 38,LN00004722,682.62g,1692-15-5,MFCD01074545,3
CCOC1=CC(=CC=C1B(O)O)Cl,Compound 39,LN00004723,54.653g,850568-80-8,MFCD03094940,3
C1=C(C=C(C(=C1)B(O)O)C(F)(F)F)Cl,Compound 40,LN00004724,107.54g,313545-41-4,MFCD04973086,3
CC1=CC=C(B(O)O)S1,Compound 41,LN00004728,22.48g,162607-20-7,MFCD01318166,3
CC1(C)C(C)(C)OB(C2=CN(CC3=CC=CC=C3)N=C2)O1,Compound 42,LN00004729,749.48g,761446-45-1,MFCD03789252,3
CC1=C(C=CS1)B2OC(C)(C)C(C)(C)O2,Compound 43,LN00004730,37.99g,910553-12-7,MFCD09837623,5
C1=C(C(=C(C=C1F)F)B(O)O)Br,Compound 44,LN00004733,423.89g,1315339-48-0,MFCD09751350,4
CC1(C)C(C)(C)OB(C2=CC=C(C=C2)NC(=O)NC)O1,Compound 45,LN00004734,0.5g,874290-99-0,MFCD06795684,18
CC1(C)C(C)(C)OB(C2=CN=CC(=C2)OC)O1,Compound 46,LN00004738,16.6g,445264-60-8,MFCD03412068,3
CCS(=O)(=O)C1=CC=C(C=C1)B(O)O,Compound 47,LN00004739,0.019g,352530-24-6,MFCD02093076,17
